date,direction,cargo,sched_time,airline,flight_no,destination,terminal,aisle,gate,status
2026-06-14,A,Y,00:00,CKS,K4701,TLV,,,,At gate 18:17 (15/06/2026)
2026-06-14,A,Y,00:00,BCS,QY516,LEJ|DWC,,,,At gate 23:35
2026-06-14,A,Y,00:05,AHK,LD681,TPE,,,,At gate 23:34 (13/06/2026)
2026-06-14,A,Y,00:10,NCA,KZ203,NRT,,,,At gate 00:02
2026-06-14,A,Y,00:20,QTR,QR8380,DOH|MEL,,,,At gate 01:07
2026-06-14,A,Y,00:30,AHK,LD217,NGO,,,,At gate 23:56 (13/06/2026)
2026-06-14,A,Y,00:30,AHK,LD572,PEN|SGN,,,,At gate 00:57
2026-06-14,A,Y,00:30,JAL,JL6781,NRT,,,,At gate 00:08
2026-06-14,A,Y,00:40,BOX,3S738,LEJ|HAN,,,,At gate 00:16
2026-06-14,A,Y,00:40,QTR,QR8082,DOH,,,,At gate 00:45
2026-06-14,A,Y,00:45,AHK,LD456,CEB|MNL,,,,At gate 00:22
2026-06-14,A,Y,00:45,DHK,D0011,EMA|MXP,,,,At gate 00:49
2026-06-14,A,Y,00:45,RMY,TH3092,PEN,,,,At gate 00:25
2026-06-14,A,Y,00:55,ETH,ET3794,MST,,,,Cancelled
2026-06-14,A,Y,01:00,AHK,LD209,NRT,,,,At gate 01:15
2026-06-14,A,Y,01:00,AHK,LD769,PEK,,,,At gate 01:30
2026-06-14,A,Y,01:00,CAL,CI5825,TPE,,,,At gate 02:42
2026-06-14,A,Y,01:00,MSR,MS509,CAI,,,,At gate 01:31
2026-06-14,A,Y,01:10,KAL,KE313,ICN,,,,At gate 01:02
2026-06-14,A,Y,01:10,RMY,TH3507,KUL,,,,At gate 01:15
2026-06-14,A,Y,01:15,AHK,LD783,PVG,,,,At gate 00:58
2026-06-14,A,Y,01:20,KMI,8K525,BKK|HAN,,,,At gate 01:33
2026-06-14,A,Y,01:25,AHK,LD326,SIN,,,,At gate 01:22
2026-06-14,A,Y,01:30,AHK,LD842,BKK,,,,At gate 01:12
2026-06-14,A,Y,01:45,CPA,CX048,DAC|HAN,,,,At gate 02:09
2026-06-14,A,Y,02:00,QTR,QR8406,DOH,,,,At gate 01:40
2026-06-14,A,Y,02:10,CKS,K4200,CVG|NRT,,,,At gate 01:06
2026-06-14,A,Y,02:15,CKS,K4254,CVG|ICN,,,,At gate 09:52
2026-06-14,A,Y,02:30,AZG,7L624,GYD|BOM,,,,At gate 01:46
2026-06-14,A,Y,02:40,AHK,LD721,CTU,,,,At gate 02:10
2026-06-14,A,Y,02:55,DHX,ES729,BAH,,,,At gate 05:13
2026-06-14,A,Y,02:55,MAS,MH6012,KUL,,,,At gate 03:11
2026-06-14,A,Y,03:10,ABB,CB856,BRU,,,,At gate 04:00
2026-06-14,A,Y,03:25,CPA,CX3244,DEL,,,,At gate 03:03
2026-06-14,A,Y,03:25,BCS,QY548,LEJ|DEL,,,,At gate 03:18
2026-06-14,A,Y,03:35,BOX,3S712,LEJ|DXB,,,,At gate 03:53
2026-06-14,A,Y,03:40,BCS,QY673,BAH,,,,At gate 04:03
2026-06-14,A,Y,03:45,HKC,RH352,MNL,,,,At gate 04:00
2026-06-14,A,Y,03:45,QTR,QR8452,DOH|SYD,,,,At gate 03:34
2026-06-14,A,Y,03:50,ETH,ET3600,ADD|MCT,,,,At gate 08:02
2026-06-14,A,Y,03:55,CPA,CX3239,XMN,,,,At gate 10:17
2026-06-14,A,Y,04:00,SGA,Y92563,BSZ,,,,At gate 04:35
2026-06-14,A,Y,04:00,UPS,5X022,PHL|CGN|CDG,,,,At gate 04:19
2026-06-14,A,Y,04:00,QTR,QR8430,DOH,,,,At gate 03:47
2026-06-14,A,Y,04:20,SVA,SV986,RUH,,,,At gate 04:43
2026-06-14,A,Y,04:30,CPA,CX095,JFK,,,,At gate 03:34
2026-06-14,A,Y,04:30,QTR,QR8472,DOH,,,,At gate 04:20
2026-06-14,A,Y,04:40,CPA,CX3035,ICN|KIX,,,,At gate 04:38
2026-06-14,A,Y,04:45,CPA,CX053,CKG,,,,At gate 06:05
2026-06-14,A,Y,04:50,TMN,HJ125,SYD,,,,At gate 22:57
2026-06-14,A,Y,04:55,CKK,CK263,PVG,,,,At gate 16:09
2026-06-14,A,Y,05:15,BOX,3S582,LEJ|ICN,,,,At gate 05:05
2026-06-14,A,Y,05:20,CAL,CI5833,TPE,,,,At gate 11:05
2026-06-14,A,Y,05:20,CLX,CV7855,LUX|SGN,,,,At gate 11:39
2026-06-14,A,Y,05:55,HKC,RH706,MEL,,,,At gate 07:43
2026-06-14,A,Y,06:30,CKS,K4273,LGG|TLV,,,,At gate 18:36
2026-06-14,A,Y,06:40,DHX,ES697,BAH,,,,At gate 06:28
2026-06-14,A,Y,07:00,CPA,CX3429,DFW|ANC,,,,At gate 10:10
2026-06-14,A,Y,07:05,FDX,FX169,MEM|SIN,,,,At gate 07:28
2026-06-14,A,Y,07:15,HKC,RH4569,TPE,,,,At gate 08:19 (15/06/2026)
2026-06-14,A,Y,07:20,AIH,KJ954,ICN|HAN,,,,At gate 07:42
2026-06-14,A,Y,07:20,UAE,EK9860,DWC,,,,At gate 17:58
2026-06-14,A,Y,07:45,QTR,QR8432,DOH|SIN,,,,At gate 07:35
2026-06-14,A,Y,07:50,CPA,CX055,PVG,,,,At gate 16:26
2026-06-14,A,Y,08:10,MPH,MP9462,ICN,,,,At gate 08:19
2026-06-14,A,Y,08:15,BOX,3S510,LEJ,,,,At gate 08:20
2026-06-14,A,Y,08:40,TAY,3V401,LGG|DWC,,,,At gate 10:56
2026-06-14,A,Y,08:50,HKC,RH830,PVG,,,,At gate 13:16
2026-06-14,A,Y,09:55,AAE,CT127,OTP,,,,At gate 12:16
2026-06-14,A,Y,10:15,THY,TK6690,IST|AMM,,,,At gate 10:01
2026-06-14,A,Y,10:55,HKC,RH393,BUD,,,,At gate 01:36 (15/06/2026)
2026-06-14,A,Y,11:10,MNB,MB6564,AKX,,,,At gate 05:18 (15/06/2026)
2026-06-14,A,Y,11:10,CLX,CV7567,LUX|SIN,,,,At gate 15:58
2026-06-14,A,Y,11:10,ETH,ET3753,ADD|MAD,,,,At gate 10:36
2026-06-14,A,Y,11:15,AIH,KJ969,ICN,,,,At gate 11:53
2026-06-14,A,Y,11:20,GTI,5Y5579,MIA|LGG,,,,Cancelled
2026-06-14,A,Y,11:30,ABB,CB858,BRU,,,,Cancelled
2026-06-14,A,Y,12:00,TAY,3V951,LGG,,,,At gate 05:12 (15/06/2026)
2026-06-14,A,Y,12:00,GEC,LH8470,FRA,,,,At gate 12:57
2026-06-14,A,Y,12:15,UAE,EK9838,DWC,,,,At gate 12:38
2026-06-14,A,Y,12:30,UAE,EK9858,DWC,,,,At gate 05:54 (15/06/2026)
2026-06-14,A,Y,12:45,CLX,CV4326,LUX|KUL,,,,At gate 13:33
2026-06-14,A,Y,13:00,GTI,5Y8373,HAN,,,,At gate 00:08 (15/06/2026)
2026-06-14,A,Y,13:00,AZG,7L571,GYD,,,,At gate 12:49
2026-06-14,A,Y,13:35,NCA,KZ209,NRT,,,,At gate 13:46
2026-06-14,A,Y,13:45,GTI,5Y3512,LAX,,,,Cancelled
2026-06-14,A,Y,13:51,GTI,5Y8140,DEL,,,,At gate 17:31
2026-06-14,A,Y,14:10,ANA,NH8513,NRT,,,,At gate 15:41
2026-06-14,A,Y,14:30,CKS,K4370,HNL,,,,At gate 13:07
2026-06-14,A,Y,14:30,CLX,CV4796,LUX,,,,At gate 15:07
2026-06-14,A,Y,14:40,UPS,5X062,SDF|ANC,,,,At gate 14:18
2026-06-14,A,Y,14:45,GTI,5Y654,ICN,,,,Cancelled
2026-06-14,A,Y,14:50,AZG,7L922,GYD,,,,Cancelled
2026-06-14,A,Y,14:55,KAL,KE8313,ICN,,,,At gate 15:08
2026-06-14,A,Y,15:05,CPA,CX015,NRT|TPE,,,,At gate 15:23
2026-06-14,A,Y,15:10,HKC,RH332,BKK,,,,At gate 06:49 (15/06/2026)
2026-06-14,A,Y,15:25,FDX,FX023,MEM|ANC,,,,At gate 15:14
2026-06-14,A,Y,15:30,CPA,CX091,DFW|ANC,,,,At gate 14:45
2026-06-14,A,Y,15:55,AZG,7L620,GYD,,,,Cancelled
2026-06-14,A,Y,16:05,CPA,CX064,FRA|AMS,,,,At gate 15:55
2026-06-14,A,Y,16:20,MAS,MH6106,KUL|KCH|BKI,,,,At gate 17:27
2026-06-14,A,Y,16:35,CLX,CV4806,LUX,,,,At gate 16:35
2026-06-14,A,Y,17:00,AXM,AK8541,BKI,,,,At gate 17:23
2026-06-14,A,Y,17:30,ICV,C89266,MXP|NRT,,,,At gate 21:18
2026-06-14,A,Y,17:50,UPS,5X038,ONT|HNL,,,,At gate 17:52
2026-06-14,A,Y,17:55,HKC,RH372,SIN,,,,At gate 19:30
2026-06-14,A,Y,18:20,GTI,5Y8008,EMA,,,,Cancelled
2026-06-14,A,Y,18:45,HKC,RH9488,IST|ALA,,,,Cancelled
2026-06-14,A,Y,19:05,GTI,5Y8523,HAN,,,,At gate 18:56
2026-06-14,A,Y,19:25,AZG,7L691,GYD,,,,Cancelled
2026-06-14,A,Y,19:30,WCM,3G806,BKI,,,,Cancelled
2026-06-14,A,Y,19:35,HKC,RH963,KIX,,,,At gate 00:23 (15/06/2026)
2026-06-14,A,Y,19:35,SVA,SV968,JED,,,,At gate 20:00
2026-06-14,A,Y,20:05,QTR,QR8454,DOH|ALA,,,,At gate 20:46
2026-06-14,A,Y,20:10,QTR,QR8476,DOH|BKK,,,,At gate 20:24
2026-06-14,A,Y,20:25,CPA,CX3283,ATL|ANC,,,,At gate 06:24 (15/06/2026)
2026-06-14,A,Y,21:00,CAL,CI5831,TPE,,,,At gate 03:32 (15/06/2026)
2026-06-14,A,Y,21:15,QFA,QF7525,SYD,,,,At gate 21:15
2026-06-14,A,Y,21:35,HKC,RH318,HAN,,,,At gate 18:57 (15/06/2026)
2026-06-14,A,Y,21:35,HKC,RH9458,DEL,,,,At gate 14:24 (15/06/2026)
2026-06-14,A,Y,21:45,CKS,K4206,CVG|NRT,,,,At gate 22:03
2026-06-14,A,Y,21:45,XKY,SR812,CRK,,,,At gate 22:40
2026-06-14,A,Y,22:10,ETH,ET3708,LGG,,,,Cancelled
2026-06-14,A,Y,22:15,ETD,EY947,AUH,,,,At gate 22:16
2026-06-14,A,Y,22:40,CLX,CV7956,LUX|HAN,,,,At gate 23:04
2026-06-14,A,Y,22:55,KXP,WW861,BKI,,,,At gate 23:31
2026-06-14,A,Y,23:40,THY,TK6256,IST|RUH,,,,At gate 23:50
2026-06-14,A,Y,23:50,AZG,7L647,DMM,,,,At gate 23:03
2026-06-14,A,N,00:05,CPA,CX782,DPS,,,,At gate 23:32 (13/06/2026)
2026-06-14,A,N,00:10,CPA,CX636,SIN,,,,At gate 00:05
2026-06-14,A,N,00:10,GFA,GF4062,SIN,,,,At gate 00:05
2026-06-14,A,N,00:10,FIN,AY5852,SIN,,,,At gate 00:05
2026-06-14,A,N,00:10,MGL,OM5614,SIN,,,,At gate 00:05
2026-06-14,A,N,00:10,FJI,FJ5463,SIN,,,,At gate 00:05
2026-06-14,A,N,00:15,TWB,TW639,PUS,,,,At gate 00:00
2026-06-14,A,N,00:25,CPA,CX469,TPE,,,,At gate 00:21
2026-06-14,A,N,00:40,HKE,UO863,KIX,,,,At gate 00:23
2026-06-14,A,N,00:40,CPA,CX5863,KIX,,,,At gate 00:23
2026-06-14,A,N,00:50,CEB,5J242,ILO,,,,At gate 00:35
2026-06-14,A,N,00:55,CRK,HX631,NRT,,,,At gate 00:54
2026-06-14,A,N,00:55,THY,TK8869,NRT,,,,At gate 00:54
2026-06-14,A,N,01:20,HKE,UO627,ICN,,,,At gate 01:11
2026-06-14,A,N,01:30,HKE,UO653,NRT,,,,At gate 01:21
2026-06-14,A,N,01:55,CPA,CX501,NRT,,,,At gate 01:56
2026-06-14,A,N,01:55,QTR,QR3458,NRT,,,,At gate 01:56
2026-06-14,A,N,01:55,JAL,JL7043,NRT,,,,At gate 01:56
2026-06-14,A,N,01:55,FJI,FJ5473,NRT,,,,At gate 01:56
2026-06-14,A,N,01:55,AAL,AA8927,NRT,,,,At gate 01:56
2026-06-14,A,N,04:40,HKE,UO623,HND,,,,At gate 04:28
2026-06-14,A,N,04:40,CPA,CX5623,HND,,,,At gate 04:28
2026-06-14,A,N,05:00,CPA,CX811,BOS,,,,At gate 04:23
2026-06-14,A,N,05:00,MGL,OM5811,BOS,,,,At gate 04:23
2026-06-14,A,N,05:00,CPA,CX829,YYZ,,,,At gate 04:11
2026-06-14,A,N,05:00,UAL,UA877,SFO,,,,At gate 04:47
2026-06-14,A,N,05:05,DAL,DL089,LAX,,,,At gate 04:52
2026-06-14,A,N,05:10,CPA,CX138,SYD,,,,At gate 05:16
2026-06-14,A,N,05:10,BAW,BA4134,SYD,,,,At gate 05:16
2026-06-14,A,N,05:10,FIN,AY5112,SYD,,,,At gate 05:16
2026-06-14,A,N,05:10,MGL,OM5602,SYD,,,,At gate 05:16
2026-06-14,A,N,05:10,CPA,CX875,DFW,,,,At gate 04:32
2026-06-14,A,N,05:15,ANA,NH813,HND,,,,At gate 05:00
2026-06-14,A,N,05:15,ACA,AC007,YVR,,,,At gate 04:54
2026-06-14,A,N,05:15,THA,TG5867,YVR,,,,At gate 04:54
2026-06-14,A,N,05:25,HKE,UO615,ICN,,,,At gate 05:01
2026-06-14,A,N,05:25,CPA,CX5615,ICN,,,,At gate 05:01
2026-06-14,A,N,05:30,CPA,CX843,JFK,,,,At gate 05:00
2026-06-14,A,N,05:30,MAS,MH9211,JFK,,,,At gate 05:00
2026-06-14,A,N,05:30,LAN,LA5649,JFK,,,,At gate 05:00
2026-06-14,A,N,05:30,MGL,OM5843,JFK,,,,At gate 05:00
2026-06-14,A,N,05:35,CPA,CX865,YVR,,,,At gate 05:30
2026-06-14,A,N,05:40,UAL,UA820,LAX,,,,At gate 05:49
2026-06-14,A,N,05:45,GIA,GA860,CGK,,,,At gate 06:21
2026-06-14,A,N,05:45,CRK,HX1960,CGK,,,,At gate 06:21
2026-06-14,A,N,05:45,CRK,HX627,ICN,,,,At gate 05:17
2026-06-14,A,N,05:45,AAR,OZ9295,ICN,,,,At gate 05:17
2026-06-14,A,N,05:45,CPA,CX883,LAX,,,,At gate 06:21
2026-06-14,A,N,05:45,LAN,LA5648,LAX,,,,At gate 06:21
2026-06-14,A,N,05:45,MGL,OM5883,LAX,,,,At gate 06:21
2026-06-14,A,N,05:45,AAL,AA8936,LAX,,,,At gate 06:21
2026-06-14,A,N,05:45,MAS,MH9193,LAX,,,,At gate 06:21
2026-06-14,A,N,05:50,CPA,CX714,SIN,,,,At gate 06:07
2026-06-14,A,N,05:50,QTR,QR3455,SIN,,,,At gate 06:07
2026-06-14,A,N,05:50,FIN,AY5856,SIN,,,,At gate 06:07
2026-06-14,A,N,05:50,MGL,OM5732,SIN,,,,At gate 06:07
2026-06-14,A,N,05:50,AAL,AA8902,SIN,,,,At gate 06:07
2026-06-14,A,N,05:55,CRK,HX760,BKK,,,,At gate 05:51
2026-06-14,A,N,05:55,THY,TK8863,BKK,,,,At gate 05:51
2026-06-14,A,N,06:00,CPA,CX292,FCO,,,,At gate 06:17
2026-06-14,A,N,06:00,CPA,CX640,KTM,,,,At gate 06:00
2026-06-14,A,N,06:00,HKE,UO629,HND,,,,At gate 06:02
2026-06-14,A,N,06:00,CPA,CX5629,HND,,,,At gate 06:02
2026-06-14,A,N,06:00,FJI,FJ393,NAN,,,,At gate 05:45
2026-06-14,A,N,06:00,CPA,CX6900,NAN,,,,At gate 05:45
2026-06-14,A,N,06:00,BAW,BA8025,NAN,,,,At gate 05:45
2026-06-14,A,N,06:00,FIN,AY3102,NAN,,,,At gate 05:45
2026-06-14,A,N,06:00,JAL,JL5362,NAN,,,,At gate 05:45
2026-06-14,A,N,06:05,CPA,CX798,CGK,,,,At gate 06:07
2026-06-14,A,N,06:05,BAW,BA4148,CGK,,,,At gate 06:07
2026-06-14,A,N,06:05,AAL,AA8918,CGK,,,,At gate 06:07
2026-06-14,A,N,06:10,CPA,CX270,AMS,,,,At gate 06:18
2026-06-14,A,N,06:15,CPA,CX234,MXP,,,,At gate 06:48
2026-06-14,A,N,06:15,CPA,CX260,CDG,,,,At gate 06:56
2026-06-14,A,N,06:15,CPA,CX873,SFO,,,,At gate 06:39
2026-06-14,A,N,06:15,MAS,MH9183,SFO,,,,At gate 06:39
2026-06-14,A,N,06:15,MGL,OM5873,SFO,,,,At gate 06:39
2026-06-14,A,N,06:15,AAL,AA8931,SFO,,,,At gate 06:39
2026-06-14,A,N,06:15,AIC,AI314,DEL,,,,At gate 06:14
2026-06-14,A,N,06:30,CPA,CX748,JNB,,,,At gate 06:17
2026-06-14,A,N,06:30,LAN,LA6093,JNB,,,,At gate 06:17
2026-06-14,A,N,06:30,JAL,JL7900,JNB,,,,At gate 06:17
2026-06-14,A,N,06:35,CPA,CX216,MAN,,,,At gate 06:38
2026-06-14,A,N,06:35,CPA,CX294,BRU,,,,At gate 06:57
2026-06-14,A,N,06:40,CPA,CX698,DEL,,,,At gate 06:46
2026-06-14,A,N,06:45,CPA,CX881,LAX,,,,At gate 07:02
2026-06-14,A,N,06:45,MAS,MH9191,LAX,,,,At gate 07:02
2026-06-14,A,N,06:45,LAN,LA5646,LAX,,,,At gate 07:02
2026-06-14,A,N,06:45,MGL,OM5881,LAX,,,,At gate 07:02
2026-06-14,A,N,06:45,AAL,AA8934,LAX,,,,At gate 07:02
2026-06-14,A,N,06:50,CPA,CX156,BNE,,,,At gate 06:47
2026-06-14,A,N,06:50,JAL,JL7906,BNE,,,,At gate 06:47
2026-06-14,A,N,06:50,FIN,AY5850,BNE,,,,At gate 06:47
2026-06-14,A,N,06:50,MGL,OM5632,BNE,,,,At gate 06:47
2026-06-14,A,N,06:50,BAW,BA4146,BNE,,,,At gate 06:47
2026-06-14,A,N,06:50,CPA,CX300,MUC,,,,At gate 07:03
2026-06-14,A,N,06:55,CPA,CX178,MEL,,,,At gate 07:23
2026-06-14,A,N,06:55,FIN,AY5844,MEL,,,,At gate 07:23
2026-06-14,A,N,06:55,MGL,OM5612,MEL,,,,At gate 07:23
2026-06-14,A,N,06:55,BAW,BA4140,MEL,,,,At gate 07:23
2026-06-14,A,N,06:55,CPA,CX382,ZRH,,,,At gate 07:31
2026-06-14,A,N,06:55,CPA,CX395,PEK,,,,At gate 06:33
2026-06-14,A,N,06:55,CCA,CA6515,PEK,,,,At gate 06:33
2026-06-14,A,N,06:55,CPA,CX696,BOM,,,,At gate 06:58
