gate,lat,lon,google_maps
1,22.3136863,113.9347913,"https://maps.google.com/?q=22.3136863,113.9347913"
10,22.314937,113.932918,"https://maps.google.com/?q=22.314937,113.932918"
11,22.3146726,113.933021,"https://maps.google.com/?q=22.3146726,113.933021"
12,22.3147996,113.9324905,"https://maps.google.com/?q=22.3147996,113.9324905"
13,22.3174776,113.9304989,"https://maps.google.com/?q=22.3174776,113.9304989"
14,22.3171485,113.9306152,"https://maps.google.com/?q=22.3171485,113.9306152"
15,22.3168619,113.9307346,"https://maps.google.com/?q=22.3168619,113.9307346"
16,22.3167292,113.9303879,"https://maps.google.com/?q=22.3167292,113.9303879"
17,22.3166524,113.9301529,"https://maps.google.com/?q=22.3166524,113.9301529"
18,22.3166371,113.9300945,"https://maps.google.com/?q=22.3166371,113.9300945"
19,22.316824,113.9300439,"https://maps.google.com/?q=22.316824,113.9300439"
2,22.3130688,113.9350205,"https://maps.google.com/?q=22.3130688,113.9350205"
20,22.31719,113.9299098,"https://maps.google.com/?q=22.31719,113.9299098"
201,22.3127697,113.9169611,"https://maps.google.com/?q=22.3127697,113.9169611"
202,22.3129633,113.9165011,"https://maps.google.com/?q=22.3129633,113.9165011"
203,22.3122461,113.917153,"https://maps.google.com/?q=22.3122461,113.917153"
204,22.3126465,113.916616,"https://maps.google.com/?q=22.3126465,113.916616"
205,22.3116342,113.9173774,"https://maps.google.com/?q=22.3116342,113.9173774"
206,22.3121439,113.916802,"https://maps.google.com/?q=22.3121439,113.916802"
207,22.311021,113.9176022,"https://maps.google.com/?q=22.311021,113.9176022"
208,22.3115282,113.9170289,"https://maps.google.com/?q=22.3115282,113.9170289"
209,22.3106026,113.9177555,"https://maps.google.com/?q=22.3106026,113.9177555"
21,22.3175436,113.9297649,"https://maps.google.com/?q=22.3175436,113.9297649"
210,22.3109205,113.9172529,"https://maps.google.com/?q=22.3109205,113.9172529"
211,22.309381,113.9182378,"https://maps.google.com/?q=22.309381,113.9182378"
212,22.3091638,113.9179141,"https://maps.google.com/?q=22.3091638,113.9179141"
213,22.3089722,113.9183898,"https://maps.google.com/?q=22.3089722,113.9183898"
214,22.3085486,113.9181461,"https://maps.google.com/?q=22.3085486,113.9181461"
215,22.3083626,113.9186165,"https://maps.google.com/?q=22.3083626,113.9186165"
216,22.3079524,113.9183708,"https://maps.google.com/?q=22.3079524,113.9183708"
217,22.3077463,113.9188457,"https://maps.google.com/?q=22.3077463,113.9188457"
218,22.3073475,113.9185989,"https://maps.google.com/?q=22.3073475,113.9185989"
219,22.3073467,113.9189943,"https://maps.google.com/?q=22.3073467,113.9189943"
228,22.3105581,113.9177579,"https://maps.google.com/?q=22.3105581,113.9177579"
229,22.3104942,113.9177868,"https://maps.google.com/?q=22.3104942,113.9177868"
23,22.3143765,113.9320982,"https://maps.google.com/?q=22.3143765,113.9320982"
230,22.3104234,113.9178135,"https://maps.google.com/?q=22.3104234,113.9178135"
24,22.3145891,113.9318356,"https://maps.google.com/?q=22.3145891,113.9318356"
25,22.3141652,113.9314395,"https://maps.google.com/?q=22.3141652,113.9314395"
26,22.3143984,113.9311736,"https://maps.google.com/?q=22.3143984,113.9311736"
27,22.3139557,113.9307863,"https://maps.google.com/?q=22.3139557,113.9307863"
29,22.3136667,113.9298857,"https://maps.google.com/?q=22.3136667,113.9298857"
3,22.3124449,113.9352521,"https://maps.google.com/?q=22.3124449,113.9352521"
30,22.3139459,113.9297657,"https://maps.google.com/?q=22.3139459,113.9297657"
31,22.3134485,113.9292054,"https://maps.google.com/?q=22.3134485,113.9292054"
32,22.3137338,113.9291058,"https://maps.google.com/?q=22.3137338,113.9291058"
33,22.3132384,113.9285504,"https://maps.google.com/?q=22.3132384,113.9285504"
34,22.3135234,113.928451,"https://maps.google.com/?q=22.3135234,113.928451"
35,22.3130357,113.9279109,"https://maps.google.com/?q=22.3130357,113.9279109"
36,22.3133029,113.9277829,"https://maps.google.com/?q=22.3133029,113.9277829"
4,22.3124009,113.9355499,"https://maps.google.com/?q=22.3124009,113.9355499"
40,22.3121274,113.926793,"https://maps.google.com/?q=22.3121274,113.926793"
41,22.3117525,113.9270525,"https://maps.google.com/?q=22.3117525,113.9270525"
42,22.3114984,113.9264718,"https://maps.google.com/?q=22.3114984,113.9264718"
43,22.3111324,113.9267294,"https://maps.google.com/?q=22.3111324,113.9267294"
44,22.3108887,113.9261605,"https://maps.google.com/?q=22.3108887,113.9261605"
45,22.3105272,113.9264142,"https://maps.google.com/?q=22.3105272,113.9264142"
46,22.3102662,113.9258427,"https://maps.google.com/?q=22.3102662,113.9258427"
47,22.3098921,113.9260833,"https://maps.google.com/?q=22.3098921,113.9260833"
48,22.3096461,113.9255261,"https://maps.google.com/?q=22.3096461,113.9255261"
49,22.3095896,113.9258241,"https://maps.google.com/?q=22.3095896,113.9258241"
5,22.3165323,113.9337156,"https://maps.google.com/?q=22.3165323,113.9337156"
50,22.309529,113.9256471,"https://maps.google.com/?q=22.309529,113.9256471"
511,22.315509,113.9332564,"https://maps.google.com/?q=22.315509,113.9332564"
512,22.3156424,113.9333576,"https://maps.google.com/?q=22.3156424,113.9333576"
513,22.3159999,113.9336262,"https://maps.google.com/?q=22.3159999,113.9336262"
514,22.3160584,113.933932,"https://maps.google.com/?q=22.3160584,113.933932"
515,22.3160507,113.9342358,"https://maps.google.com/?q=22.3160507,113.9342358"
520,22.3144795,113.9335046,"https://maps.google.com/?q=22.3144795,113.9335046"
521,22.3144291,113.9336111,"https://maps.google.com/?q=22.3144291,113.9336111"
522,22.3142955,113.9338935,"https://maps.google.com/?q=22.3142955,113.9338935"
523,22.3142495,113.9339908,"https://maps.google.com/?q=22.3142495,113.9339908"
524,22.3141146,113.934276,"https://maps.google.com/?q=22.3141146,113.934276"
525,22.3140698,113.9343707,"https://maps.google.com/?q=22.3140698,113.9343707"
6,22.3173936,113.933392,"https://maps.google.com/?q=22.3173936,113.933392"
60,22.3138121,113.9263966,"https://maps.google.com/?q=22.3138121,113.9263966"
61,22.3136171,113.9258805,"https://maps.google.com/?q=22.3136171,113.9258805"
62,22.3141534,113.9256413,"https://maps.google.com/?q=22.3141534,113.9256413"
63,22.3138984,113.9252405,"https://maps.google.com/?q=22.3138984,113.9252405"
64,22.3145152,113.9248404,"https://maps.google.com/?q=22.3145152,113.9248404"
65,22.314199,113.9245768,"https://maps.google.com/?q=22.314199,113.9245768"
66,22.3148482,113.9241034,"https://maps.google.com/?q=22.3148482,113.9241034"
